Bourdon,Flue depth,Frequency,Cut-up height,diam toe,Acoustic Intensity,Partials 1,Partials 2,Partials 3,Partials 4,Partials 5,Partials 6,Partials 7,Partials 8
0,3.50E-04,196,1.05E-02,7.00E-03,73,99,61,87,37,44,0,5,0
0,3.50E-04,196,1.05E-02,8.50E-03,90,70,99,73,18,13,0,5,0
0,1.06E-03,146.8,1.20E-02,7.00E-03,65,91,43,99,52,69,40,50,19
0,1.06E-03,138.6,1.20E-02,8.50E-03,86,11,0,99,3,0,0,0,0
0,6.00E-04,174.6,1.00E-02,7.20E-03,87,44,0,99,13,52,33,0,25
0,1.10E-03,174.6,1.00E-02,1.10E-02,111,34,99,17,11,59,28,0,32
0,1.10E-03,110,1.70E-02,7.00E-03,66,95,99,55,42,40,21,17,0
0,1.10E-03,110,1.70E-02,8.00E-03,68,99,97,97,81,64,45,30,12
0,1.10E-03,110,1.70E-02,9.00E-03,79,32,99,21,29,0,6,9,0
0,1.10E-03,110,1.70E-02,1.00E-02,84,34,99,42,0,0,23,11,9
0,1.25E-03,116.5,1.40E-02,8.00E-03,72,44,99,40,20,4,0,0,8
0,1.25E-03,116.5,1.40E-02,7.00E-03,68,99,84,79,57,32,21,0,12
0,8.75E-04,116.5,1.40E-02,7.00E-03,68,99,91,87,79,37,43,0,27
0,8.50E-04,103.8,1.55E-02,8.50E-03,71,99,83,88,47,28,0,14,0
0,8.50E-04,103.8,1.55E-02,7.00E-03,66,99,67,68,0,9,0,0,0
0,1.05E-03,103.8,1.55E-02,8.50E-03,71.5,99,88,85,48,17,1,11,0
0,1.05E-03,103.8,1.55E-02,7.00E-03,65,99,49,65,0,0,0,0,0
0,6.50E-04,123.5,1.25E-02,7.00E-03,68,99,87,73,63,7,15,0,0
0,1.05E-03,123.5,1.25E-02,7.00E-03,61.5,99,90,63,49,17,0,0,0
0,1.05E-03,123.5,1.25E-02,8.50E-03,75,53,99,50,40,0,15,0,0
0,8.50E-04,123.5,1.25E-02,7.00E-03,78,99,85,54,59,17,0,0,0
1,7.00E-04,174.6,1.01E-02,7.00E-03,80,99,13,85,0,42,12,0,0
1,1.20E-03,146.8,1.20E-02,7.00E-03,65.6,99,5,65,24,38,9,18,0
1,1.20E-03,146.8,1.20E-02,8.50E-03,73,0,99,0,0,23,0,0,0
1,9.00E-04,146.8,1.20E-02,7.00E-03,64,99,0,78,13,35,0,0,0
1,9.00E-04,98,1.66E-02,7.00E-03,62,99,17,84,13,23,15,0,6
1,9.00E-04,98,1.66E-02,8.50E-03,66,99,15,94,15,46,20,0,19
1,1.35E-03,98,1.66E-02,8.50E-03,79,99,10,95,21,37,25,0,15
1,1.25E-03,103.8,1.57E-02,7.00E+00,75,99,3,80,0,18,0,0,0
1,1.25E-03,103.8,1.57E-02,8.50E-03,87,99,3,82,0,28,0,0,0
1,1.20E-03,110,1.49E-02,8.50E-03,65,99,0,72,0,36,0,0,0
1,1.20E-03,116.5,1.40E-02,8.50E-03,65,99,0,71,0,19,0,0,0
1,1.20E-03,123.5,1.30E-02,7.00E-03,65,99,0,79,0,39,10,0,0
